0038003400350042,康和-永和,0,522,0,4240
0038003400350044,康和-板橋,0,1002,0,10524
0038003400350053,康和-南崁,0,479,0,4205
0038003400350058,康和-屏東,4,287,39,6218
003800340035004a,康和-高雄,0,775,0,8723
0038003400350045,康和-澎湖,0,408,0,2656
8520,中農,0,640,0,6006
8561,新光-台中,0,1456,0,74084
8562,新光-高雄,0,1251,0,28623
8563,新光-新竹,0,1235,0,28970
8565,新光-桃園,0,1113,0,18160
8585,聯邦-三重,7,244,8,1174
8841,玉山-雙和,0,865,0,10645
8842,玉山-新莊,0,943,0,13337
8843,玉山-高雄,0,1148,0,18133
8844,玉山-松江,0,839,0,7132
8846,玉山-板橋,0,1014,0,13832
8848,玉山-嘉義,0,985,0,10457
8849,玉山-台大,0,900,0,13561
0038003800340041,玉山-士林,0,800,0,9102
0038003800340042,玉山-台中,0,1064,0,12078
0038003800340044,玉山-左營,0,972,0,9213
0038003800340045,玉山-城中,0,1119,0,15163
0038003800340046,玉山-桃園,0,902,0,9022
8881,國泰-高雄,0,1041,0,10734
8882,國泰-台中,0,1297,0,19512
8883,國泰-松江,0,889,0,8636
8884,國泰-台南,0,743,0,6112
8885,國泰-桃園,0,785,0,8354
8888,國泰-敦南,0,1300,0,17481
003800380038004b,國泰-板橋,0,1295,0,20921
8890,大和國泰,0,89,0,11247
9100,群益金鼎,0,1040,0,23730
9105,群益金鼎-高盛,0,762,0,6896
9108,群益金鼎-海山,0,887,0,10924
9131,群益金鼎-民權,0,1064,0,10272
9134,群益金鼎-開元,0,923,0,6751
9135,群益金鼎-經國,0,945,0,7339
9185,群益金鼎-台南,0,647,0,4983
9189,群益金鼎-桃園,0,900,0,7894
003900310033004e,群益金鼎-土城,0,947,0,17277
0039003100380067,群益金鼎-大甲,0,1010,0,11845
0039003100300044,群益金鼎-大興,0,671,0,7172
0039003100380073,群益金鼎-丹鳳,0,839,0,6758
0039003100330052,群益金鼎-北高雄,0,867,0,7341
0039003100380043,群益金鼎-古亭,0,986,0,9562
0039003100380058,群益金鼎-台北,0,612,0,32024
0039003100380069,群益金鼎-竹南,0,832,0,6910
003900310038007a,群益金鼎-宜蘭,0,883,0,10595
0039003100380044,群益金鼎-東門,0,908,0,6994
003900310038004b,群益金鼎-東湖,0,784,0,6014
0039003100380042,群益金鼎-板橋,0,681,0,7261
0039003100380045,群益金鼎-南京,0,616,0,5030
003900310038004c,群益金鼎-建成,0,671,0,5641
0039003100380046,群益金鼎-新店,0,736,0,7939
0039003100380075,群益金鼎-瑞豐,0,880,0,6780
0039003100330049,群益金鼎-萬華,0,617,0,4690
0039003100380063,群益金鼎-鳳山,0,968,0,8753
0039003100330059,群益金鼎-館前,0,775,0,5229
9200,凱基,0,613,0,45150
9208,凱基-桃園,0,1360,0,25638
9209,凱基-岡山,0,758,0,6282
9212,凱基-東港,0,698,0,5475
9215,凱基-高美館,0,1082,0,16279
9216,凱基-信義,0,825,0,15237
9217,凱基-松山,0,1052,0,60134
9218,凱基-大直,0,917,0,15725
9226,凱基-汐止,0,694,0,4879
9229,凱基-中山,0,1072,0,13610
9231,凱基-員林,0,435,0,6629
9232,凱基-建成,0,745,0,6846
9233,凱基-長庚,0,923,0,9761
9235,凱基-永華,0,534,0,4065
9238,凱基-士林,0,910,0,12799
9239,凱基-市政,0,987,0,35767
9252,凱基-嘉義,0,815,0,9161
9258,凱基-羅東,0,538,0,3924
9266,凱基-新豐,0,793,0,5806
9273,凱基-竹東,0,440,0,1903
9274,凱基-鳳山,0,898,0,9332
9275,凱基-三多,0,684,0,7629
9278,凱基-永康,0,684,0,4703
9281,凱基-斗六,0,348,0,1527
9285,凱基-中壢,0,1065,0,9769
9287,凱基-內湖,0,616,0,4299
9296,凱基-頭份,0,642,0,4399
0039003200310045,凱基-三峽,0,821,0,6613
003900320031004a,凱基-土城,0,523,0,2977
0039003200300057,凱基-大里,0,760,0,12193
0039003200310047,凱基-五股,0,675,0,4904
003900320030005a,凱基-台東,0,747,0,5794
0039003200300044,凱基-市府,0,782,0,10112
0039003200310043,凱基-民權,0,510,0,3272
003900320030004d,凱基-宜蘭,0,738,0,8962
0039003200300045,凱基-東門,0,722,0,6767
0039003200310059,凱基-東勢,0,653,0,4358
0039003200300041,凱基-板橋,0,976,0,10899
0039003200320043,凱基-屏東,0,726,0,6684
0039003200300046,凱基-站前,0,998,0,9631
0039003200300048,凱基-基隆,0,911,0,9369
0039003200300047,凱基-彰化,0,1044,0,12107
0039003200300043,凱基-雙和,0,725,0,6687
9303,華南永昌-高雄,0,1009,0,11687
9305,華南永昌-新莊,0,531,0,5731
9306,華南永昌-台南,0,708,0,6517
9307,華南永昌-大安,0,866,0,18120
9308,華南永昌-麻豆,0,878,0,5658
9309,華南永昌-古亭,0,681,0,4527
9312,華南永昌-民權,0,659,0,4165
9315,華南永昌-苑裡,0,421,0,3322
9316,華南永昌-淡水,0,689,0,4015
9319,華南永昌-鶯歌,0,738,0,8240
9322,華南永昌-公誠,0,1063,0,10975
9323,華南永昌-小港,0,671,0,7183
9324,華南永昌-岡山,0,866,0,11753
9327,華南永昌-斗六,0,681,0,3790
9328,華南永昌-潮州,0,687,0,4288
